"","R","M","F","Response Rate (%)"
"1",1,1,1,13.3858267716535
"2",1,1,2,10
"3",1,2,1,24.3243243243243
"4",1,2,2,24.7058823529412
"5",1,2,4,33.3333333333333
"6",1,3,2,12.5
"7",1,3,4,22.65625
"8",1,4,2,40
"9",1,4,4,45.4545454545455
"10",2,1,1,5.18518518518519
"11",2,1,2,0
"12",2,1,3,0
"13",2,2,1,6.66666666666667
"14",2,2,2,15.7894736842105
"15",2,2,4,0
"16",2,3,2,0
"17",2,3,4,11.9047619047619
"18",2,4,2,50
"19",2,4,4,30.3703703703704
"20",3,1,1,3.92156862745098
"21",3,1,2,0
"22",3,1,3,0
"23",3,2,1,9.09090909090909
"24",3,2,2,7.69230769230769
"25",3,2,4,3.44827586206897
"26",3,3,2,0
"27",3,3,4,9.52380952380952
"28",3,4,2,42.8571428571429
"29",3,4,4,23.2394366197183
"30",4,1,1,0.78740157480315
"31",4,1,2,5
"32",4,2,1,2.5
"33",4,2,2,2.7027027027027
"34",4,2,4,8.69565217391304
"35",4,3,2,0
"36",4,3,4,6.48148148148148
"37",4,4,2,66.6666666666667
"38",4,4,4,17.3913043478261
